resource,count,last_indexed,last_page
spells,1774,2025-11-24T04:45:45.231024Z,18
feats,91,2025-11-24T04:45:45.781915Z,1
conditions,21,2025-11-24T04:45:46.318664Z,1
magicitems,1618,2025-11-24T04:45:57.070800Z,17
items,1618,2025-11-24T04:46:07.030775Z,17
monsters,3207,2025-11-24T04:46:41.182796Z,33
classes,12,2025-11-24T04:46:42.058997Z,1
races,20,2025-11-24T04:46:42.744870Z,1
backgrounds,54,2025-11-24T04:46:43.798171Z,1
weapons,75,2025-11-24T04:46:44.672938Z,1
armor,25,2025-11-24T04:46:45.579504Z,1
documents,23,2025-11-24T04:46:46.223295Z,1
planes,8,2025-11-24T04:46:46.769828Z,1
sections,45,2025-11-24T04:46:47.560597Z,1
spelllist,7,2025-11-24T04:46:48.134462Z,1
