resource,name,slug
spells,air wave,a5e-ag_air-wave
spells,altered strike,a5e-ag_altered-strike
spells,angel paradox,a5e-ag_angel-paradox
spells,arcane muscles,a5e-ag_arcane-muscles
spells,arcane riposte,a5e-ag_arcane-riposte
spells,aspect of the moon,a5e-ag_aspect-of-the-moon
spells,battlecry ballad,a5e-ag_battlecry-ballad
spells,blood-writ bargain,a5e-ag_blood-writ-bargain
spells,calculate,a5e-ag_calculate
spells,calculated retribution,a5e-ag_calculated-retribution
spells,ceremony,a5e-ag_ceremony
spells,circular breathing,a5e-ag_circular-breathing
spells,cobra's spit,a5e-ag_cobras-spit
spells,corpse explosion,a5e-ag_corpse-explosion
spells,crushing haymaker,a5e-ag_crushing-haymaker
spells,darklight,a5e-ag_darklight
spells,deadweight,a5e-ag_deadweight
spells,dramatic sting,a5e-ag_dramatic-sting
spells,earth barrier,a5e-ag_earth-barrier
spells,eldritch cube,a5e-ag_eldritch-cube
spells,enrage architecture,a5e-ag_enrage-architecture
spells,flex,a5e-ag_flex
spells,force of will,a5e-ag_force-of-will
spells,force punch,a5e-ag_force-punch
spells,forest army,a5e-ag_forest-army
spells,friends,a5e-ag_friends
spells,grapevine,a5e-ag_grapevine
spells,harmonic resonance,a5e-ag_harmonic-resonance
spells,heart of dis,a5e-ag_heart-of-dis
spells,inescapable malady,a5e-ag_inescapable-malady
spells,infernal weapon,a5e-ag_infernal-weapon
spells,accelerando,a5e-ag_accelerando
spells,invigorated strikes,a5e-ag_invigorated-strikes
spells,lemure transformation,a5e-ag_lemure-transformation
spells,mental grip,a5e-ag_mental-grip
spells,mindshield,a5e-ag_mindshield
spells,pestilence,a5e-ag_pestilence
spells,phantasmal talons,a5e-ag_phantasmal-talons
spells,poison skin,a5e-ag_poison-skin
spells,rage of the meek,a5e-ag_rage-of-the-meek
spells,raise hell,a5e-ag_raise-hell
spells,searing equation,a5e-ag_searing-equation
spells,seed bomb,a5e-ag_seed-bomb
spells,shattering barrage,a5e-ag_shattering-barrage
spells,soulwrought fists,a5e-ag_soulwrought-fists
spells,sporesight,a5e-ag_sporesight
spells,storm kick,a5e-ag_storm-kick
spells,tearful sonnet,a5e-ag_tearful-sonnet
spells,traveler's ward,a5e-ag_travelers-ward
spells,unholy star,a5e-ag_unholy-star
spells,venomous succor,a5e-ag_venomous-succor
spells,wall of flesh,a5e-ag_wall-of-flesh
spells,warrior's instincts,a5e-ag_warriors-instincts
spells,whirlwind kick,a5e-ag_whirlwind-kick
spells,wind up,a5e-ag_wind-up
spells,wormway,a5e-ag_wormway
spells,writhing transformation,a5e-ag_writhing-transformation
spells,abhorrent apparition,deepm_abhorrent-apparition
spells,accelerate,deepm_accelerate
spells,acid gate,deepm_acid-gate
spells,acid rain,deepm_acid-rain
spells,adjust position,deepm_adjust-position
spells,afflict line,deepm_afflict-line
spells,agonizing mark,deepm_agonizing-mark
spells,alchemical form,deepm_alchemical-form
spells,ale-dritch blast,deepm_ale-dritch-blast
spells,ally aegis,deepm_ally-aegis
spells,alone,deepm_alone
spells,alter arrow’s fortune,deepm_alter-arrows-fortune
spells,althea’s travel tent,deepm_altheas-travel-tent
spells,amplify gravity,deepm_amplify-gravity
spells,analyze device,deepm_analyze-device
spells,ancestor’s strength,deepm_ancestors-strength
spells,anchoring rope,deepm_anchoring-rope
spells,anchoring rope (reaction),deepm_anchoring-rope-reaction
spells,ancient shade,deepm_ancient-shade
spells,angelic guardian,deepm_angelic-guardian
spells,animate ghoul,deepm_animate-ghoul
spells,animate greater undead,deepm_animate-greater-undead
spells,animated scroll,deepm_animated-scroll
spells,anticipate arcana,deepm_anticipate-arcana
spells,anticipate attack,deepm_anticipate-attack
spells,anticipate weakness,deepm_anticipate-weakness
spells,arcane sight,deepm_arcane-sight
spells,as you were,deepm_as-you-were
spells,ashen memories,deepm_ashen-memories
spells,aspect of the dragon,deepm_aspect-of-the-dragon
spells,aspect of the serpent,deepm_aspect-of-the-serpent
spells,aura of protection or destruction,deepm_aura-of-protection-or-destruction
spells,auspicious warning,deepm_auspicious-warning
spells,avoid grievous injury,deepm_avoid-grievous-injury
spells,avronin’s astral assembly,deepm_avronins-astral-assembly
spells,awaken object,deepm_awaken-object
spells,bad timing,deepm_bad-timing
spells,batsense,deepm_batsense
spells,become nightwing,deepm_become-nightwing
spells,beguiling bet,deepm_beguiling-bet
spells,benediction,deepm_benediction
spells,bestial fury,deepm_bestial-fury
spells,binding oath,deepm_binding-oath
spells,biting arrow,deepm_biting-arrow
spells,bitter chains,deepm_bitter-chains
spells,black goat’s blessing,deepm_black-goats-blessing
spells,black hand,deepm_black-hand
spells,black ribbons,deepm_black-ribbons
spells,black sunshine,deepm_black-sunshine
spells,black swan storm,deepm_black-swan-storm
spells,black well,deepm_black-well
spells,blade of my brother,deepm_blade-of-my-brother
spells,blade of wrath,deepm_blade-of-wrath
spells,blazing chariot,deepm_blazing-chariot
spells,bleating call,deepm_bleating-call
spells,bleed,deepm_bleed
